team_id,season,T_j_hat,roster_n,draftees
79,2017,0.0018276478341841512,10,0
79,2018,-0.13320232607459934,11,0
79,2019,0.03395136982697709,10,0
79,2020,-0.2790287246648899,12,0
79,2021,-0.055002872395322804,11,0
80,2020,-0.4995498706236587,5,0
82,2011,-0.41839122972598114,13,0
82,2012,-0.0806801948257082,14,0
82,2013,-0.14026828759251092,12,0
82,2014,-0.22243634709839036,15,0
82,2015,-0.09759838256196283,14,0
82,2016,-0.10160850135482512,13,0
82,2017,0.18795045067039454,12,0
82,2018,0.06995492604065617,11,0
82,2019,-0.0038403657365161685,11,0
82,2020,0.12479666285801892,11,0
82,2021,-0.12262052492809285,12,0
84,2011,-0.008384009124342626,14,1
84,2012,0.23776480236285397,13,2
84,2013,0.1303980421867946,13,2
84,2014,-0.11177398189001435,14,1
84,2015,0.1738472461470049,12,0
84,2016,0.3297377198038982,12,1
84,2017,0.5624862357520439,13,1
84,2018,0.02818760525667215,12,0
84,2019,-0.05509502859982217,13,1
84,2020,0.1596331310454007,11,0
84,2021,-0.11902730618002463,10,0
85,2011,-0.13812312299036159,12,0
85,2012,0.10520746632590285,11,0
85,2013,-0.03841583169037566,12,0
85,2014,0.15358890044110876,12,0
85,2015,-0.04288634736700362,13,0
85,2016,-0.04328789308077791,11,0
85,2017,0.0449466908834923,12,0
85,2018,0.03275507066677441,11,0
85,2019,0.279199167021044,12,0
85,2020,-0.26232916613105567,12,0
85,2021,-0.3958521100884116,13,0
87,2011,0.2798531517198125,12,0
87,2012,0.24824540748964835,10,2
87,2013,0.07948857728740538,11,2
87,2014,0.18713660588988634,10,3
87,2015,0.3026451294366139,13,3
87,2016,0.14812092526960444,11,1
87,2017,0.09442642540759678,11,0
87,2018,-0.005605665941337397,12,0
87,2019,0.11264976567112191,12,0
87,2020,0.22708366618066553,10,0
87,2021,0.030464888567223392,10,0
89,2017,-0.46488535735949793,5,0
89,2019,1.0856041927184845,3,0
91,2021,0.1909428208238874,12,0
92,2017,0.3962631773644934,6,0
93,2011,0.10145165885170983,11,1
93,2012,0.29426034173367777,10,1
93,2013,-0.07149074689047828,12,1
93,2014,0.08267263622857848,10,1
93,2015,0.3527120036258266,11,1
93,2016,-0.0748279054334094,11,0
93,2017,0.2858904419705265,11,0
93,2018,0.24969190345853895,12,1
93,2019,0.3578208463194901,12,1
93,2020,0.1424764081330909,12,0
93,2021,0.4422851131594116,14,0
94,2013,-0.12764755457006302,12,0
94,2014,0.0631167431223117,12,0
94,2015,0.20657933610169263,15,0
94,2016,-0.08218075696246648,12,0
94,2017,0.05579044074798554,12,0
94,2018,0.39887623324345056,11,0
94,2019,0.2777161954818193,11,0
94,2020,0.1489477517961593,12,0
94,2021,-0.3864607846876533,13,0
95,2020,-0.035991973855938275,4,0
96,2011,-0.04501486516043522,10,6
96,2012,0.010967572783779944,10,6
96,2013,0.36936808644204583,9,3
96,2014,0.1300333808947072,12,5
96,2015,0.17557950330125763,13,7
96,2016,0.07324244244857056,11,3
96,2017,0.30820660651779475,12,3
96,2018,0.03515857939649104,11,6
96,2019,0.28319807921440854,10,5
96,2020,0.19477169831250501,9,3
96,2021,0.1463793659385451,11,2
97,2011,0.3588487198238246,13,3
97,2012,0.10402267913805993,16,3
97,2013,0.19057350056476635,11,4
97,2014,0.25751275239858334,14,3
97,2015,-0.21665447608553962,14,3
97,2016,0.1631191327277977,13,3
97,2017,0.36394397654933736,13,2
97,2018,0.41494079037383974,11,2
97,2019,0.117684069629406,11,1
97,2020,0.18528398137827015,12,2
97,2021,-0.21007509750394301,12,1
98,2011,-0.020013163789867575,13,0
98,2012,-0.03118159813114196,12,0
98,2013,0.00933173376335458,14,0
98,2014,-0.08018810596626019,15,0
98,2015,-0.07443226482065242,14,0
