athlete_id,team_id,distinct_games,total_minutes,game_rows,canonical_team_id,kept
56390,2166,32,1066.0,32,2166,True
56392,2649,33,1098.0,33,2649,True
56393,2253,32,772.0,32,2253,True
56395,2084,33,991.0,33,2084,True
56397,2711,34,907.0,34,2711,True
56400,140,33,207.0,33,140,True
56401,2565,28,888.0,28,2565,True
56402,71,33,301.0,33,71,True
56405,250,31,566.0,31,250,True
56406,2287,35,445.0,35,2287,True
56407,2567,34,1147.0,34,2567,True
56408,84,34,664.0,34,84,True
56409,282,31,1020.0,31,282,True
56410,282,31,0.0,31,282,True
56411,282,31,847.0,31,282,True
56413,36,34,659.0,34,36,True
56416,195,30,512.0,30,195,True
56419,2724,35,1080.0,35,2724,True
56422,2724,35,754.0,35,2724,True
56423,2437,29,407.0,29,2437,True
56424,167,31,1094.0,31,167,True
56425,300,34,422.0,34,300,True
56427,26,36,26.0,36,26,True
56429,201,35,13.0,35,201,True
56431,257,35,1276.0,35,257,True
56432,257,35,1071.0,35,257,True
56433,2197,33,397.0,33,2197,True
56434,257,35,5.0,35,257,True
56435,257,35,625.0,35,257,True
56436,2199,35,397.0,35,2199,True
56438,2751,35,1154.0,35,2751,True
56440,2751,35,1082.0,35,2751,True
56441,2529,32,989.0,32,2529,True
56443,2598,32,250.0,32,2598,True
56445,2598,32,559.0,32,2598,True
56446,2598,32,1133.0,32,2598,True
56447,2598,32,780.0,32,2598,True
56449,2681,30,979.0,30,2681,True
56450,2681,30,250.0,30,2681,True
56453,2198,33,975.0,33,2198,True
56454,2198,33,0.0,33,2198,True
56456,2198,33,1025.0,33,2198,True
56458,2545,32,880.0,32,2545,True
56459,93,35,342.0,35,93,True
56460,27,31,1103.0,31,27,True
56462,25,33,513.0,33,25,True
56465,25,33,973.0,33,25,True
56466,24,37,1347.0,37,24,True
56471,2636,30,33.0,30,2636,True
56472,2277,28,724.0,28,2277,True
56472,2428,1,0.0,1,2277,False
56474,2413,34,934.0,34,2413,True
56476,107,30,779.0,30,107,True
56477,107,30,913.0,30,107,True
56478,107,30,443.0,30,107,True
56480,2426,32,71.0,32,2426,True
56483,2426,32,665.0,32,2426,True
56486,2633,32,2.0,32,2633,True
56487,2261,35,891.0,35,2261,True
56488,2633,32,0.0,32,2633,True
56489,2633,32,1162.0,32,2633,True
56490,258,34,859.0,34,258,True
56496,94,30,69.0,30,94,True
56497,309,36,492.0,36,309,True
56498,236,32,350.0,32,236,True
56499,236,32,1006.0,32,236,True
56507,2717,32,1180.0,32,2717,True
56509,2747,35,1090.0,35,2747,True
56510,2747,35,358.0,35,2747,True
56513,350,32,74.0,32,350,True
56514,2747,35,1035.0,35,2747,True
56518,2447,29,727.0,29,2447,True
56519,2447,29,6.0,29,2447,True
56521,2504,33,839.0,33,2504,True
56523,2466,32,557.0,32,2466,True
56524,2466,32,13.0,32,2466,True
56527,2466,32,1104.0,32,2466,True
56528,357,34,20.0,34,357,True
56530,357,34,1219.0,34,357,True
56535,2428,33,194.0,33,2428,True
56539,2413,34,313.0,34,2413,True
56540,2633,32,14.0,32,2633,True
56542,85,31,991.0,31,85,True
56543,2473,33,1154.0,33,2473,True
56549,2571,35,40.0,35,2571,True
56550,2571,35,506.0,35,2571,True
56553,155,30,811.0,30,155,True
56554,198,34,1168.0,34,198,True
56559,2710,28,177.0,28,2710,True
56560,2172,30,847.0,30,2172,True
56561,2172,30,930.0,30,2172,True
56563,239,34,1060.0,34,239,True
56564,2172,30,1061.0,30,2172,True
56568,233,33,804.0,33,233,True
56569,305,32,635.0,32,305,True
56572,249,31,1062.0,31,249,True
56573,98,32,40.0,32,98,True
56574,113,32,910.0,32,113,True
56576,98,32,207.0,32,98,True
56577,325,34,430.0,34,325,True
56578,98,32,920.0,32,98,True
56579,98,32,1069.0,32,98,True
56584,23,30,291.0,30,23,True
56589,2501,33,674.0,33,2501,True
56590,2501,33,866.0,33,2501,True
56591,2502,29,27.0,29,2502,True
56592,2501,33,0.0,33,2501,True
56593,301,31,972.0,31,301,True
56594,301,31,965.0,31,301,True
56595,301,31,22.0,31,301,True
56595,25,1,0.0,1,301,False
56598,2181,31,618.0,31,2181,True
56599,2541,32,1044.0,32,2541,True
56601,2541,32,1018.0,32,2541,True
56602,2504,33,799.0,33,2504,True
56604,3084,30,971.0,30,3084,True
56605,328,31,792.0,31,328,True
56606,328,31,53.0,31,328,True
56611,233,33,143.0,33,233,True
56612,142,32,250.0,32,142,True
56618,2065,32,892.0,32,2065,True
56620,103,32,435.0,32,103,True
56621,103,32,2.0,32,103,True
56622,2181,31,588.0,31,2181,True
56624,12,38,0.0,38,12,True
56625,103,32,204.0,32,103,True
56626,103,32,26.0,32,103,True
56627,103,32,783.0,32,103,True
56628,103,32,938.0,32,103,True
56629,218,37,309.0,37,218,True
56630,228,31,1061.0,31,228,True
56632,93,35,1070.0,35,93,True
56633,2429,32,175.0,32,2429,True
