athlete_id,team_id,points,minutes,missing_minutes_rows,missing_points_rows,distinct_games,game_rows,ppm
56955,2539,35.0,205.0,8,8,32,32,0.17073170731707318
56959,2539,22.0,83.0,17,17,32,32,0.26506024096385544
56963,153,0.0,22.0,29,29,38,38,0.0
56964,153,7.0,81.0,16,16,38,38,0.08641975308641975
56966,153,21.0,102.0,10,10,38,38,0.20588235294117646
56970,2458,310.0,619.0,1,1,30,30,0.5008077544426495
56978,2539,9.0,77.0,15,15,32,32,0.11688311688311688
56984,2294,107.0,625.0,1,1,34,34,0.1712
56998,2670,162.0,529.0,16,16,36,36,0.30623818525519847
57000,2670,533.0,969.0,3,3,36,36,0.5500515995872033
57001,2670,49.0,240.0,2,2,36,36,0.20416666666666666
57003,2535,52.0,191.0,3,3,32,32,0.27225130890052357
57029,278,175.0,388.0,16,16,31,31,0.45103092783505155
57030,197,532.0,982.0,1,1,32,32,0.5417515274949084
57034,235,181.0,634.0,5,5,32,32,0.2854889589905363
57036,238,10.0,38.0,26,26,35,35,0.2631578947368421
57037,26,4.0,24.0,23,23,36,36,0.16666666666666666
57039,2329,11.0,38.0,23,23,30,30,0.2894736842105263
57047,2349,201.0,747.0,2,2,29,29,0.26907630522088355
57049,111,189.0,600.0,3,3,35,35,0.315
57052,2250,34.0,145.0,20,20,38,38,0.23448275862068965
57055,232,19.0,83.0,23,23,33,33,0.2289156626506024
57060,198,404.0,929.0,6,6,34,34,0.43487621097954793
57062,252,30.0,197.0,25,25,35,35,0.15228426395939088
57067,47,55.0,195.0,13,13,31,31,0.28205128205128205
57068,47,79.0,565.0,2,2,32,32,0.13982300884955753
57073,2430,44.0,200.0,14,14,33,33,0.22
57078,2066,8.0,47.0,22,22,32,32,0.1702127659574468
57083,2005,41.0,222.0,12,12,31,31,0.18468468468468469
57084,2545,226.0,730.0,3,2,32,32,0.3095890410958904
57085,2005,160.0,525.0,6,6,31,31,0.3047619047619048
57088,2005,104.0,310.0,20,20,31,31,0.33548387096774196
57089,2005,310.0,706.0,6,6,31,31,0.43909348441926344
57090,2628,80.0,211.0,5,5,33,33,0.3791469194312796
57091,8,346.0,957.0,1,0,36,36,0.361546499477534
57092,2305,45.0,133.0,17,17,36,36,0.3383458646616541
57102,2031,179.0,407.0,16,16,31,31,0.4398034398034398
57107,189,50.0,173.0,8,8,33,33,0.28901734104046245
57118,155,256.0,722.0,1,1,30,30,0.3545706371191136
57120,166,272.0,637.0,12,12,34,34,0.42700156985871274
57121,2239,46.0,174.0,10,10,31,31,0.26436781609195403
57122,248,173.0,558.0,1,1,32,32,0.3100358422939068
57127,350,167.0,456.0,3,3,32,32,0.36622807017543857
57135,2459,28.0,205.0,3,3,30,30,0.13658536585365855
57136,66,186.0,524.0,2,2,34,34,0.3549618320610687
57139,204,129.0,642.0,1,1,31,31,0.20093457943925233
57140,2599,9.0,85.0,15,15,33,33,0.10588235294117647
57141,264,14.0,138.0,17,17,31,31,0.10144927536231885
57143,338,13.0,129.0,12,11,32,32,0.10077519379844961
57146,2415,4.0,30.0,21,21,31,31,0.13333333333333333
57148,2597,132.0,399.0,9,9,35,35,0.3308270676691729
57156,2459,210.0,607.0,1,1,30,30,0.34596375617792424
57157,2739,1.0,41.0,19,19,33,33,0.024390243902439025
57161,2916,7.0,87.0,7,7,29,29,0.08045977011494253
57168,2569,45.0,366.0,5,5,33,33,0.12295081967213115
